date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:17	342/342	---MCZ	200	added ('OK')	text/plain	etag:W/%2273648-6e1-5e454555b8400%22	http://www.inspirationalspark.com/robots.txt		(from )
11:31:17	39609/39609	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:18%20GMT	http://www.inspirationalspark.com/	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/index.html	(from )
11:31:18	6707/6707	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	http://www.inspirationalspark.com/support-files/A.inspirational.css.pagespeed.cf.P4fc0lIdo8.css	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/support-files/A.inspirational.css.pagespeed.cf.P4fc0lIdo8.css	(from http://www.inspirationalspark.com/)
11:31:18	8568/8568	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	http://www.inspirationalspark.com/sd/support-files/fix.js.pagespeed.jm.hNqckcKb0T.js	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/sd/support-files/fix.js.pagespeed.jm.hNqckcKb0T.js	(from http://www.inspirationalspark.com/)
11:31:20	9928/9928	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.inspirationalspark.com/image-files/inspirational-spark-left.jpg.pagespeed.ce.GBxCQanxzF.jpg	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/image-files/inspirational-spark-left.jpg.pagespeed.ce.GBxCQanxzF.jpg	(from http://www.inspirationalspark.com/)
11:31:20	94/94	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.inspirationalspark.com/image-files/xhline.gif.pagespeed.ic.U46389Kv1U.png	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/image-files/xhline.gif.pagespeed.ic.U46389Kv1U.png	(from http://www.inspirationalspark.com/)
11:31:21	34775/34775	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:22%20GMT	http://www.inspirationalspark.com/WhatsNew.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/WhatsNew.html	(from http://www.inspirationalspark.com/)
11:31:22	38789/38789	---M--	200	added ('OK')	image/png	etag:%2254a779-9785-49bb77d56bec0%22	http://www.inspirationalspark.com/image-files/spark-image-facebook-180-80.png	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/image-files/spark-image-facebook-180-80.png	(from http://www.inspirationalspark.com/)
11:31:22	23831/23831	---M--	200	added ('OK')	application/xml	etag:%2254a67a-5d17-4f68f547bd340%22	http://www.inspirationalspark.com/inspirational-spark.xml	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/inspirational-spark.xml	(from http://www.inspirationalspark.com/)
11:31:22	35536/35536	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:23%20GMT	http://www.inspirationalspark.com/leadership-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/leadership-quotes.html	(from http://www.inspirationalspark.com/)
11:31:23	39282/39282	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:23%20GMT	http://www.inspirationalspark.com/friend-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/friend-quotes.html	(from http://www.inspirationalspark.com/)
11:31:23	31167/31167	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:23%20GMT	http://www.inspirationalspark.com/goal-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/goal-quotes.html	(from http://www.inspirationalspark.com/)
11:31:24	38644/38644	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:24%20GMT	http://www.inspirationalspark.com/inspirational-sports-sayings.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/inspirational-sports-sayings.html	(from http://www.inspirationalspark.com/)
11:31:24	35449/35449	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:24%20GMT	http://www.inspirationalspark.com/success-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/success-quotes.html	(from http://www.inspirationalspark.com/)
11:31:24	36769/36769	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:25%20GMT	http://www.inspirationalspark.com/motivation-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/motivation-quotes.html	(from http://www.inspirationalspark.com/)
11:31:25	43800/43800	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:25%20GMT	http://www.inspirationalspark.com/attitude-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/attitude-quotes.html	(from http://www.inspirationalspark.com/)
11:31:25	38183/38183	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:25%20GMT	http://www.inspirationalspark.com/inspirational-phrases.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/inspirational-phrases.html	(from http://www.inspirationalspark.com/)
11:31:26	38693/38693	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:26%20GMT	http://www.inspirationalspark.com/encouragement-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/encouragement-quotes.html	(from http://www.inspirationalspark.com/)
11:31:26	32708/32708	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:26%20GMT	http://www.inspirationalspark.com/best-friend-quotes.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/best-friend-quotes.html	(from http://www.inspirationalspark.com/)
11:31:27	32661/32661	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:27%20GMT	http://www.inspirationalspark.com/sayings-about-best-friends.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/sayings-about-best-friends.html	(from http://www.inspirationalspark.com/)
11:31:27	37590/37590	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:27%20GMT	http://www.inspirationalspark.com/quotes-about-being-yourself.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/quotes-about-being-yourself.html	(from http://www.inspirationalspark.com/)
